대외활동명,포스터,주최,주관,접수기간,분야,응모대상,혜택
2023년 시립노원청소년센터 자치기구 및 동아리 참가 청소년 모집,/data/poster/2301/490555.png?v=1673223144,시립노원청소년센터,시립노원청소년센터,23.01.06 ~ 23.01.21,서포터즈·기자단·마케터,"일반인, 대학생, 초등학생, 중학생, 고등학생","위촉장 및 수료증 발급, 자원봉사시간 증정 外"
온라인 포폴활동 크라우드 펀딩 참가자 모집,/data/poster/2301/490556.png?v=1674205158,잇기,잇기,23.01.20 ~ 23.01.26,기타(캠프/강연 등),"일반인, 대학생, 대학원생",목표금액 달성시 수익화
기획 포폴 온라인 스터디 모집,/data/poster/2301/490557.png?v=1673587724,잇기,잇기,23.01.13 ~ 23.01.19,기타(캠프/강연 등),"일반인, 대학생, 대학원생",멘토링 및 실무교육
대구시청소년문화의집 꼼지락발전소 청소년운영위원회 '톱니연구소 5기' 모집,/data/poster/2301/490558.jpg?v=1673223561,대구광역시,대구시청소년문화의집 꼼지락발전소,23.01.07 ~ 23.02.04,서포터즈·기자단·마케터,"대학생, 대학원생, 초등학생, 중학생, 고등학생, 기타","위촉장 수여, 봉사시간 제공, 연합활동 등"
한컴아카데미 교육플랫폼 체험단 모집 및 설문조사 이벤트,/data/poster/2301/490559.jpg?v=1673223791,한컴아카데미,한컴아카데미,22.12.26 ~ 23.01.31,기타(캠프/강연 등),제한없음,전체 클래스 20% 할인쿠폰 제공
2023 3D character Creator 캐릭터 제작 공모전,/data/poster/2301/490560.jpg?v=1673226953,Reallusion Global/다우데이타,Reallusion Global/다우데이타,23.01.02 ~ 23.02.28,디자인·그림·웹툰,제한없음,총상금 700만원 外
2023 클라우드 인프라 엔지니어 양성 과정 3차 교육생 모집,/data/poster/2301/490561.jpg?v=1673224172,Metanet / 한국전파진흥협회,Metanet / 한국전파진흥협회,23.01.02 ~ 23.02.02,체험단·모니터링·인턴십,제한없음,"교육비(교재, 클라우드 실습비 등) 전액 무료 外"
노원구청소년축제를 기획하는 노원구청소년문화기획단 청취 5기 단원 모집,/data/poster/2301/490562.png?v=1673224683,노원구립상계청소년문화의집,노원구청,23.01.05 ~ 23.01.24,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 중학생, 고등학생","노원구청장 명의 위촉장, 우수활동 표창장 수여 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
갈현청소년센터 유스테이 대학생 및 청년 보드게임 멘토 모집,/data/poster/2301/490564.jpg?v=1673224872,은평구청,갈현청소년센터,23.01.07 ~ 23.01.15,봉사활동,"대학생, 대학원생",교육봉사 시간 인증 外
2023년 방구석 명상캠프,/data/poster/2301/490565.png?v=1673225224,전인교육센터,전인교육센터,22.01.07 ~ 22.01.13,기타(캠프/강연 등),"일반인, 대학생, 대학원생",1:1 맞춤형 코칭
곡성 두꺼비마을 청년한달살기 2기 모집,/data/poster/2301/490566.png?v=1673225473,"전라남도, 곡성군",문화창작소 동행,23.01.06 ~ 23.01.27,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생, 기타",4주 숙박 및 식 제공 外
2023년 대방청소년문화의집 벙커서포터즈 신규단원 모집,/data/poster/2301/490567.png?v=1673224408,대방청소년문화의집,대방청소년문화의집,23.01.03 ~ 23.02.15,기타(캠프/강연 등),"일반인, 대학생, 대학원생",봉사활동 증명서 발급 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
(추가모집) 대한민국 대학생 교육기부단  대구경북권역본부 22기 모집,/data/poster/2301/490570.png?v=1674606873,대한민국 대학생 교육기부단,대한민국 대학생 교육기부단,23.01.09 ~ 23.01.25,봉사활동,"대학생, 대학원생",봉사 시간 제공 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023 수원청소년문화센터 대학생 문화기획단 모집,/data/poster/2301/490572.jpg?v=1673222836,수원시청소년재단,수원청소년문화센터,22.12.20 ~ 23.02.24,서포터즈·기자단·마케터,대학생,
2023 원주시청소년참여위원회 신규위원 모집,/data/poster/2301/490573.PNG?v=1673223185,"여성가족부,원주시",원주시청소년수련관,23.01.07 ~ 23.03.31,서포터즈·기자단·마케터,"대학생, 초등학생, 중학생, 고등학생","원주시장 위촉장 발급, 봉사시간 및 활동 증명서 발급"
원주YMCA 신규동아리 모집,/data/poster/2301/490574.png?v=1673223500,원주YMCA,원주YMCA,23.01.07 ~ 23.12.31,기타(캠프/강연 등),"대학생, 기타","활동컨설팅 지, 무료공간 지원 外"
월간 삶의 온기  3월 호 원고 모집,/data/poster/2301/490575.PNG?v=1673223885,도서출판하영인,도서출판하영인,23.01.01 ~ 23.01.31,문학·학술·공학,제한없음,5만원
BBQ 올리버스 청년 봉사단 2기 모집,/data/poster/2301/490576.png?v=1674177056,BBQ,스카이벤처스,23.01.07 ~ 23.01.26,봉사활동,대학생,"우수 참여자 BBQ 입사 지원 시 서류 전형 면제, 자사 공식 수료증 제공 外"
2023 미래도서관 정책 아이디어 해커톤대회,/data/poster/2301/490577.png?v=1673225849,문화체육관광부,대통령소속국가도서관위원회,23.01.30 ~ 23.02.10,문학·학술·공학,"일반인, 대학생, 대학원생, 기타","총상금 1,500만원"
2023년 한국대학교육협의회 미디어 서포터즈 제1기 모집,/data/poster/2301/490578.jpg?v=1673226350,한국대학교육협의회,한국대학교육협의회,23.01.09 ~ 23.02.05,서포터즈·기자단·마케터,대학생,한국대학교육협의회 제1기 미디어 서포터즈 위촉장 수여 外
모찌이야기 모찌다이노 스토리텔링 공모전,/data/poster/2301/490579.jpg?v=1673226619,아론29,아론29,23.01.05 ~ 23.03.04,문학·학술·공학,제한없음,
사회적기업가 육성사업 2023년 창업팀 모집,/data/poster/2301/490580.jpeg?v=1673226831,"한국사회적기업진흥원, 고용노동부","한국사회적기업진흥원, 고용노동부",23.01.06 ~ 23.01.30,아이디어·창업·네이밍,제한없음,"창업공간, 창업자금 등 지원"
대한민국청소년기자단 6기 대학생기자 모집,/data/poster/2301/490581.jpg?v=1673226978,대한민국청소년기자단,대한민국청소년기자단,23.01.05 ~ 23.02.05,서포터즈·기자단·마케터,대학생,대한민국청소년기자단 대학생기자 위촉장 발급 外
고려대학교 지능정보 SW 아카데미 2기 교육생 모집,/data/poster/2301/490582.jpg?v=1673229243,티쓰리큐 / 한국경제신문,고려대학교 산학협력단,23.01.09 ~ 23.02.10,기타(캠프/강연 등),"일반인, 대학생",교육비 전액 및 교육활동비 지원(월 30만 원) 外
2023년도 농업연구과제 공모,/data/poster/2301/490583.jpg?v=1673229714,대산농촌재단,대산농촌재단,23.01.02 ~ 23.01.31,문학·학술·공학,제한없음,연구비 1천~2천만 원
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
삼성엔지니어링 제25기 꿈푸 환경 기자단 모집,/data/poster/2301/490585.jpg?v=1673231098,삼성엔지니어링 꿈나무 푸른교실,삼성엔지니어링 꿈나무 푸른교실,23.01.05 ~ 23.02.01,서포터즈·기자단·마케터,"초등학생, 중학생, 고등학생","이어폰, 충전기 및 인증서"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
삼성엔지니어링 23년도 상반기 대학생 멘토 모집,/data/poster/2301/490587.jpg?v=1673231996,삼성엔지니어링 꿈나무 푸른교실,삼성엔지니어링 꿈나무 푸른교실,23.01.05 ~ 23.02.08,서포터즈·기자단·마케터,대학생,장학금
따사로이 현장스쿨 5기 참여자 모집,/data/poster/2301/490588.png?v=1673232329,신사종합사회복지관,신사종합사회복지관,23.01.06 ~ 23.01.25,서포터즈·기자단·마케터,"대학생, 기타","수료증, 이수증 배부 外"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
내주변 예약어플 뷰티앤톡톡 마케팅 공모전,/data/poster/2301/490590.jpg?v=1673231536,뷰티앤톡톡,뷰티앤톡톡,23.01.09 ~ 23.02.28,사진·영상,제한없음,대상 500만원 外
해커스 기초사무능력자격증 합격 서포터즈 3기,/data/poster/2301/490591.jpg?v=1673232579,해커스 교육그룹,해커스 교육그룹,23.01.10 ~ 23.01.15,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",서포터즈 전원 자격증 대비 강의 3종 증정 外
제2회 전국 장애-비장애 대학생 창업경진대회,/data/poster/2301/490592.png?v=1674002733,"한국복지대학교, 한경대학교","한국복지대학교, 한경대학교",23.01.02 ~ 23.01.29,아이디어·창업·네이밍,대학생,총상금 980만원 外
2023 청년활력공간 다온나그래 상반기 공간운영단 모집,/data/poster/2301/490593.jpg?v=1673237255,대구광역시청년센터,대구광역시청년센터,22.12.28 ~ 23.01.15,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",공간운영단 위촉장 및 활동증서 수여 外
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
제1회 ‘책 읽는 샤미’ SF 환경동화 공모,/data/poster/2301/490595.jpg?v=1673237568,이지북,이지북,22.12.29 ~ 23.03.31,문학·학술·공학,제한없음,대상 1편 선인세 1000만 원
2023 오영수 신인문학상 공모전,/data/poster/2301/490596.jpg?v=1673237614,"울산매일신문사, S-OIL","한국소설가협회, 울산소설가협회",23.01.09 ~ 23.03.10,문학·학술·공학,제한없음,상금 500만원
MBN Y FORUM 2023 운영요원 모집,/data/poster/2301/490597.png?v=1673412157,"MBN, 매일경제","MBN, 매일경제",23.01.09 ~ 23.01.24,기타(캠프/강연 등),제한없음,"급여 일 110,000원 外"
2023년 김제시 청년공감 서포터즈 모집,/data/poster/2301/490598.jpg?v=1673237827,김제시,김제시,23.01.06 ~ 23.01.19,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생, 기타",위촉장 및 활동 증명서 교부 外
제28회 한겨레문학상 공모,/data/poster/2301/490599.jpg?v=1673237876,한겨레,한겨레,23.01.09 ~ 23.03.31,문학·학술·공학,제한없음,
경기도사이버도서관 영상·사진 공모전,/data/poster/2301/490600.png?v=1673943599,경기도사이버도서관,경기도사이버도서관,22.12.26 ~ 23.01.31,사진·영상,제한없음,영상부문 : 대상 100만 원(1명)
2023 농촌진흥청 SNS 기자단 모집,/data/poster/2301/490601.jpg?v=1673238252,농촌진흥청,농촌진흥청,22.12.27 ~ 23.01.15,서포터즈·기자단·마케터,제한없음,매월 소정의 원고료 및 우수기자 우수활동비 지급 外
SB 통합 서포터즈 1기 모집,/data/poster/2301/490602.jpg?v=1673238465,JNP GLOBAL/ JNP aventures,JNP GLOBAL/ JNP aventures,23.01.09 ~ 23.01.15,서포터즈·기자단·마케터,"대학생, 대학원생","수료증 및 상장, 활동비 지급 (10만원) 外"
러닝핏 습관챌린지 7기 선착순 모집,/data/poster/2301/490603.png?v=1673238986,러닝핏,러닝핏,23.01.09 ~ 23.01.31,기타(캠프/강연 등),제한없음,최대 3개 강의 무료 제공 + 여행지원금
2023 고용패널조사 학술대회 논문 공모,/data/poster/2301/490604.png?v=1673239049,한국고용정보원,한국고용정보원,22.12.27 ~ 23.01.23,문학·학술·공학,"일반인, 대학생, 대학원생",최우수상(0편) : 상장 및 상금(300만원)
남양주시 청소년참여위원회 제23기 늘푸른청소년위원회 신입위원 모집,/data/poster/2301/490605.jpg?v=1673240649,남양주시청소년수련관,남양주시청소년수련관,23.01.09 ~ 23.01.14,서포터즈·기자단·마케터,"대학생, 중학생, 고등학생","남양주시장 명의의 위촉장 발급, 봉사시간 인증 및 활동 인증서 발급 外"
K-디지털트레이닝 백엔드 자바개발자 양성과정,/data/poster/2301/490606.png?v=1673243726,KIC 캠퍼스,KIC 캠퍼스,23.01.09 ~ 23.02.22,기타(캠프/강연 등),"일반인, 대학생, 대학원생",훈련비 100% 전액 지원 外
2023 남세종종합청소년센터 청소년동아리 신규모집,/data/poster/2301/490607.jpg?v=1673241160,남세종종합청소년센터,남세종종합청소년센터,23.01.02 ~ 23.01.31,봉사활동,"중학생, 고등학생",
탑텐 소방의 날 티셔츠 디자인 공모전,/data/poster/2301/490608.jpg?v=1673241584,"탑텐, 청주대학교 아트앤패션디자인학과","탑텐, 청주대학교 아트앤패션디자인학과",23.01.09 ~ 23.02.22,디자인·그림·웹툰,"대학생, 고등학생",총상금 860만원
KB국민은행 대학생 서포터즈 'KB캠퍼스스타' 18기 모집,/data/poster/2301/490609.png?v=1673243431,KB국민은행,KB국민은행,23.01.09 ~ 23.01.29,서포터즈·기자단·마케터,대학생,개인 활동 우수자 입행 지원 시 서류 전형면제 外
해양관리협의회 MCS 서포터즈 6기 모집,/data/poster/2301/490610.png?v=1673318417,MSC(해양관리협의회),MSC(해양관리협의회),23.01.09 ~ 23.01.31,서포터즈·기자단·마케터,대학생,수료증 발급 및 우수 서포터즈 시상 外
제 13회 미스터블루 웹툰 공모전,/data/poster/2301/490611.jpg?v=1673254121,미스터블루,미스터블루,23.01.09 ~ 23.03.05,디자인·그림·웹툰,제한없음,"총 상금 3,000만원"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023년도 에코스타트업 지원사업 예비창업자‧창업기업 모집,/data/poster/2301/490614.jpg?v=1673246414,한국환경산업기술원,한국환경산업기술원,23.01.16 ~ 23.01.31,아이디어·창업·네이밍,기타,사업화 자금 지원 및 창업·사업화 역량강화 프로그램 지원
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
"""조국의 법고전 산책"" 독후감 대회",/data/poster/2301/490617.png?v=1673248482,오마이북/오마이뉴스,오마이북/오마이뉴스,23.01.06 ~ 23.02.17,문학·학술·공학,"일반인, 대학생, 대학원생, 고등학생",대상(1명) 상금 100만 원 外
2023년 고양시 청소년 노동인권 서포터즈 4기 모집,/data/poster/2301/490618.jpg?v=1673249209,고양시,고양시청소년상담복지센터,23.01.09 ~ 23.01.24,서포터즈·기자단·마케터,"대학생, 대학원생, 기타","활동비 or 봉사시간, 수료증 발급"
다음 항목에 오류가 있습니다.,Not found,Not found,Not found,Not found,Not found,Not found,Not found
2023년 Y.O.P 기획단 활동청소년 모집,/data/poster/2301/490620.jpg?v=1673249189,시립성북청소년센터,시립성북청소년센터,23.01.06 ~ 23.02.17,서포터즈·기자단·마케터,"중학생, 고등학생","자원봉사 시간, 프로그램 기획 및 운영"
부산광역시건강가정지원센터 홍보서포터즈 알건알자 6기 모집,/data/poster/2301/490621.jpg?v=1675303461,부산광역시건강가정지원센터,부산광역시건강가정지원센터,23.01.09 ~ 23.02.13,서포터즈·기자단·마케터,제한없음,"블로그 포스팅 1건 : 활동비 (15,000원) 外"
