대외활동명,주최,주관,접수기간,분야,응모대상,혜택,조회수
유니티 개발자 부트캠프,THE국제직업전문학교,THE국제직업전문학교,24.05.29 ~ 24.06.28,기타(캠프/강연 등),제한없음,"기숙사제공, 전액지원, 훈련수당지급 접수처",0
Dubai Global Village Korea Pavilion 인턴십 모집,Electromed,Electromed,24.05.29 ~ 24.06.14,체험단·모니터링·인턴십,제한없음,"소정의 활동비, 비자 발급, 숙소, 건강보험 外",0
LG소셜캠퍼스 홍보기자단 1기 모집,LG전자· LG화학,더좋은세상 사단법인 피피엘,24.05.29 ~ 24.06.21,서포터즈·기자단·마케터,"대학생, 대학원생, 기타 (휴학생(증빙))",상세한 내용은 공고문 확인 부탁드립니다.,0
제4기 평택시 미디어크리에이터 모집,평택시,평택시,24.04.15 ~ 24.06.15,서포터즈·기자단·마케터,"일반인, 대학생","소정의 제작비 지급, 제작 활동 지원 및 홍보자료 제공",0
"ESG,CSR 취업을 위한 4주 직무경험 프로젝트",(주)프로젝트퀘스천,(주)프로젝트퀘스천,24.05.30 ~ 24.06.16,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생","ESG/CSR 새로운 진로 탐색, 사회공헌 프로젝트 협업 경험 外",0
일본군'위안부'피해자 기림의날 사전캠페인 기억의 꽃배달 전국참여자 모집,경기도청,경기도청,24.05.30 ~ 24.06.20,봉사활동,제한없음,봉사활동 시간인증,0
그챌 월간 갓생 챌린지,팀와이즈,.,24.05.30 ~ 24.07.05,서포터즈·기자단·마케터,제한없음,"교보문고, 올리브영, 배달의민족 3만원권 外",0
아랍에미레이트 두바이 글로벌 빌리지 한국관 공연팀 모집,Electromed,Electromed,24.05.30 ~ 24.06.14,체험단·모니터링·인턴십,"일반인, 대학생, 대학원생","매달 소정의 개별 활동비, 왕복 항공권, 숙소 및 교통 外",0
댕댕이와 함께하는 소중한 4시간 댕댕워크,굿네이버스 서울남부사업본부,굿네이버스 서울남부사업본부,24.05.31 ~ 24.06.30,체험단·모니터링·인턴십,제한없음,산책을 위한,0
2024 부산시 아동참여단 대학생 서포터즈 모집,부산광역시,부산광역시,24.05.27 ~ 24.06.14,서포터즈·기자단·마케터,대학생,"자원봉사활동 인정(1365 가입 필수), 위촉장 수여, 아동권리교육 제공",0
링글 AI Prep 엠버서더 2기 모집,링글,링글,24.05.31 ~ 24.06.25,서포터즈·기자단·마케터,"일반인, 대학생, 대학원생",10년차 광고/마케팅/CX전략 실무자들과 커피챗 기회!,0
올바른 법정계량 홍보 대학생 서포터즈 3기 모집,국가기술표준원,한국계량측정협회,24.06.03 ~ 24.07.15,서포터즈·기자단·마케터,대학생,시상,0
국립외교원 국민외교아카데미 2024년 대학생 외교 연수 과정,국민외교아카데미,국립외교원,24.05.28 ~ 24.06.14,기타(캠프/강연 등),대학생,국립외교원장 명의 수료증 발급,0
동양고속 SNS 서포터즈 모집,(주)동양고속,(주)동양고속,24.06.01 ~ 24.07.31,서포터즈·기자단·마케터,제한없음,우승자(최우수자) 및 우수자 상금 제공,0
